id,name,created_at,updated_at
41,smoke-flavored salmon,2024-05-02 10:49:16.72953,
42,lactobacillus acidophilus,2024-05-02 10:49:16.72953,
43,biotin (vitamin b-7),2024-05-02 10:49:16.72953,
44,thiamin mononitrate,2024-05-02 10:49:16.72953,
45,wild-caught cod,2024-05-02 10:49:16.72953,
46,cobalt carbonate,2024-05-02 10:49:16.72953,
47,coconut oil (preserved with mixed tocopherols),2024-05-02 10:49:16.72953,
48,animal digest,2024-05-02 10:49:16.72953,
49,*fos (prebiotic),2024-05-02 10:49:16.72953,
50,sodium selenite] taurine,2024-05-02 10:49:16.72953,
51,freeze dried chicken liver,2024-05-02 10:49:16.72953,
52,dried apple,2024-05-02 10:49:16.72953,
53,whole milk,2024-05-02 10:49:16.72953,
54,minerals (zinc glycine complex,2024-05-02 10:49:16.72953,
55,yeast hydrolysate (source of beta-glucans),2024-05-02 10:49:16.72953,
56,sodiumtriphosphate,2024-05-02 10:49:16.72953,
57,biotin),2024-05-02 10:49:16.72953,
58,rice protein,2024-05-02 10:49:16.72953,
59,chicken fat (preserved with mixed tocopherols),2024-05-02 10:49:16.72953,
60,organic pumpkin seeds,2024-05-02 10:49:16.72953,
61,cranberry,2024-05-02 10:49:16.72953,
62,cinnamon,2024-05-02 10:49:16.72953,
63,zinc sulfate.,2024-05-02 10:49:16.72953,
64,vitamin d 3 supplement,2024-05-02 10:49:16.72953,
65,d calcium pantothenate,2024-05-02 10:49:16.72953,
66,menhaden fish oil (preserved with mixed tocopherol),2024-05-02 10:49:16.72953,
67,dried pork liver,2024-05-02 10:49:16.72953,
68,cranberries.,2024-05-02 10:49:16.72953,
69,taurine. this product is formulated to meet the nutritional levels established by the aafco cat food nutrient profiles for maintenance.,2024-05-02 10:49:16.72953,
70,quail,2024-05-02 10:49:16.72953,
71,vitamins (ascorbic acid (source of vitamin c),2024-05-02 10:49:16.72953,
72,herring broth,2024-05-02 10:49:16.72953,
73,linseed,2024-05-02 10:49:16.72953,
74,minerals (ferrous sulfate monohydrate,2024-05-02 10:49:16.72953,
75,t hiamine mononitrate (vitamin b1),2024-05-02 10:49:16.72953,
76,turkey meal,2024-05-02 10:49:16.72953,
77,yucca shidigera extract,2024-05-02 10:49:16.72953,
78,(salt calcium carbonate monodicalcium phosphate choline chloride potassium chloride zinc proteinate iron proteinate copper proteinate manganese proteinate calcium iodate),2024-05-02 10:49:16.72953,
79,yellow peas,2024-05-02 10:49:16.72953,
80,c...ranberries,2024-05-02 10:49:16.72953,
81,dried potato products,2024-05-02 10:49:16.72953,
82,fish oil (preserved with mixed tocopherols),2024-05-02 10:49:16.72953,
83,calcium pantothenate (vitamin b5),2024-05-02 10:49:16.72953,
84,steel cut oats,2024-05-02 10:49:16.72953,
85,chicory roots extract,2024-05-02 10:49:16.72953,
86,seaweed-derived calcium,2024-05-02 10:49:16.72953,
87,f467420,2024-05-02 10:49:16.72953,
88,seaweed,2024-05-02 10:49:16.72953,
89,whitefish meal,2024-05-02 10:49:16.72953,
90,menadione sodium bisulfate complex (source of vitamin k),2024-05-02 10:49:16.72953,
91,rabbit (including ground rabbit bone),2024-05-02 10:49:16.72953,
92,chick peas,2024-05-02 10:49:16.72953,
93,parsley.,2024-05-02 10:49:16.72953,
94,dried egg whites,2024-05-02 10:49:16.72953,
95,whole yellow peas,2024-05-02 10:49:16.72953,
96,trace minerals [zinc oxide,2024-05-02 10:49:16.72953,
97,sufficient water for processing,2024-05-02 10:49:16.72953,
98,brewer's rice,2024-05-02 10:49:16.72953,
99,brewer's yeast,2024-05-02 10:49:16.72953,
100,added color (yellow #5,2024-05-02 10:49:16.72953,
101,red iron oxide,2024-05-02 10:49:16.72953,
102,red peppers,2024-05-02 10:49:16.72953,
103,dried bacillus coagulans fermentation product.,2024-05-02 10:49:16.72953,
104,flaxseed (source of omega 3 & 6 fatty acids),2024-05-02 10:49:16.72953,
105,dried bacillus subtilis fermentation product,2024-05-02 10:49:16.72953,
106,(salt,2024-05-02 10:49:16.72953,
107,anchovy,2024-05-02 10:49:16.72953,
108,canthaxanthin (color),2024-05-02 10:49:16.72953,
109,whole butternut squash,2024-05-02 10:49:16.72953,
110,ascorbic acid (vitamin c),2024-05-02 10:49:16.72953,
111,powdered cellulose,2024-05-02 10:49:16.72953,
112,suncured alfalfa meal,2024-05-02 10:49:16.72953,
113,sesame oil,2024-05-02 10:49:16.72953,
114,vitamins ( vitamin e supplement,2024-05-02 10:49:16.72953,
115,thiamine nitrate,2024-05-02 10:49:16.72953,
116,whole sweet potatoes,2024-05-02 10:49:16.72953,
117,mojave yucca,2024-05-02 10:49:16.72953,
118,potassium iodide. h-4656-5.5,2024-05-02 10:49:16.72953,
119,vitamin d2 supplement,2024-05-02 10:49:16.72953,
120,potassium iodide. h-4656,2024-05-02 10:49:16.72953,
121,sal,2024-05-02 10:49:16.72953,
122,pork fat (preserved with tbhq and citric acid),2024-05-02 10:49:16.72953,
123,anise seed extract,2024-05-02 10:49:16.72953,
124,cellulose fibre,2024-05-02 10:49:16.72953,
125,ground pecan shells,2024-05-02 10:49:16.72953,
126,chicken fat (preserved with mixed tocopherols],2024-05-02 10:49:16.72953,
127,tuna by-products,2024-05-02 10:49:16.72953,
128,natural and artificial roasted turkey flavor,2024-05-02 10:49:16.72953,
129,collard greens,2024-05-02 10:49:16.72953,
130,dried cheese,2024-05-02 10:49:16.72953,
131,vitamin e supplemen,2024-05-02 10:49:16.72953,
132,poultry fat,2024-05-02 10:49:16.72953,
133,natural mixed tocopherols,2024-05-02 10:49:16.72953,
134,potassium iodide.,2024-05-02 10:49:16.72953,
135,pork hearts,2024-05-02 10:49:16.72953,
136,duck (boneless,2024-05-02 10:49:16.72953,
137,tomato paste (tomato,2024-05-02 10:49:16.72953,
138,thiamine mononitrate,2024-05-02 10:49:16.72953,
139,cholecalciferol (a source ofvitamin d3),2024-05-02 10:49:16.72953,
140,fructooligosaccharide (prebiotic),2024-05-02 10:49:16.72953,
141,pyridoxine hydrochloride [vitamin b6],2024-05-02 10:49:16.72953,
142,bha/bht (a preservative),2024-05-02 10:49:16.72953,
143,roasted duck,2024-05-02 10:49:16.72953,
144,vitamin b6 (pyridoxine hydrochloride),2024-05-02 10:49:16.72953,
145,dehydrated venison,2024-05-02 10:49:16.72953,
146,freeze-dried turkey,2024-05-02 10:49:16.72953,
147,dried cane molasses,2024-05-02 10:49:16.72953,
148,iodized salt,2024-05-02 10:49:16.72953,
149,vitamins (dl-alpha tocopherol acetate [source of vitamin e],2024-05-02 10:49:16.72953,
150,iron oxide (color).,2024-05-02 10:49:16.72953,
151,sodium nitrite (to promote color retention). e607018,2024-05-02 10:49:16.72953,
152,chicken bone,2024-05-02 10:49:16.72953,
153,diced red peppers,2024-05-02 10:49:16.72953,
154,copper sulphate,2024-05-02 10:49:16.72953,
155,montlorillonite clay,2024-05-02 10:49:16.72953,
156,lysine,2024-05-02 10:49:16.72953,
157,yucca schidigera extract.,2024-05-02 10:49:16.72953,
158,ground white rice,2024-05-02 10:49:16.72953,
159,dehydrated mackerel,2024-05-02 10:49:16.72953,
160,pepper,2024-05-02 10:49:16.72953,
161,fresh boneless venison,2024-05-02 10:49:16.72953,
162,canola oil (preserved with mixed tocopherols & citric acid),2024-05-02 10:49:16.72953,
163,herring oil (preserved with mixed tocopherols,2024-05-02 10:49:16.72953,
164,/ turkey,2024-05-02 10:49:16.72953,
165,dried cherries,2024-05-02 10:49:16.72953,
166,niacin (source of vitamin b3),2024-05-02 10:49:16.72953,
167,ascorbyl 2-phosphate (source of vitamin c),2024-05-02 10:49:16.72953,
168,dehydrated fish,2024-05-02 10:49:16.72953,
169,dried organic kelp.,2024-05-02 10:49:16.72953,
170,modified tapioca starch,2024-05-02 10:49:16.72953,
171,flaxsee...d,2024-05-02 10:49:16.72953,
172,dehydrated cod,2024-05-02 10:49:16.72953,
173,apples,2024-05-02 10:49:16.72953,
174,source of vitamin e),2024-05-02 10:49:16.72953,
175,dried pumpkin,2024-05-02 10:49:16.72953,
176,dulse powder,2024-05-02 10:49:16.72953,
177,canola meal,2024-05-02 10:49:16.72953,
178,mixed tocopherols (natural antioxidant),2024-05-02 10:49:16.72953,
179,and dried bacillus subtilis fermentation extract.,2024-05-02 10:49:16.72953,
180,manganese proteinate),2024-05-02 10:49:16.72953,
181,new zealand green mussels,2024-05-02 10:49:16.72953,
182,whole red lentils,2024-05-02 10:49:16.72953,
183,chicken liver and heart digest),2024-05-02 10:49:16.72953,
184,modified food starch,2024-05-02 10:49:16.72953,
185,menhaden,2024-05-02 10:49:16.72953,
186,caramel color.,2024-05-02 10:49:16.72953,
187,cracked pearled barley,2024-05-02 10:49:16.72953,
188,chicken liver flavor,2024-05-02 10:49:16.72953,
189,l lysine,2024-05-02 10:49:16.72953,
190,minerals((iron amino acid complex,2024-05-02 10:49:16.72953,
191,betaine anhydrous,2024-05-02 10:49:16.72953,
192,elderberries extract,2024-05-02 10:49:16.72953,
193,wheatgrass,2024-05-02 10:49:16.72953,
194,a-tocopherol acetate,2024-05-02 10:49:16.72953,
195,brewer s yeast,2024-05-02 10:49:16.72953,
196,lecithin (sunflower derived),2024-05-02 10:49:16.72953,
197,folic acid,2024-05-02 10:49:16.72953,
198,vitamins : (choline chloride,2024-05-02 10:49:16.72953,
199,whole barley,2024-05-02 10:49:16.72953,
200,organic sweet potatoes,2024-05-02 10:49:16.72953,
201,riboflavin supplement (vitamin b2),2024-05-02 10:49:16.72953,
202,roasted quail,2024-05-02 10:49:16.72953,
203,copper proteinate),2024-05-02 10:49:16.72953,
204,sodium carbonate. dave s naturally healthy food turkey formula cat food is formulated to meet the nutritional levels established by the aafco cat food nutrient profiles for maintenance,2024-05-02 10:49:16.72953,
205,minerals [zinc proteinate,2024-05-02 10:49:16.72953,
206,sodium acid pyrophosphate,2024-05-02 10:49:16.72953,
207,fresh chicken liver,2024-05-02 10:49:16.72953,
208,minerals (dipotassium phosphate,2024-05-02 10:49:16.72953,
209,dried rhizopus oryzae fermentation extract,2024-05-02 10:49:16.72953,
210,whole blueberries,2024-05-02 10:49:16.72953,
211,chicken (with ground bone),2024-05-02 10:49:16.72953,
212,manganese polysaccharide complex,2024-05-02 10:49:16.72953,
213,mackerel meal,2024-05-02 10:49:16.72953,
214,(dicalcium phosphate,2024-05-02 10:49:16.72953,
215,seabream,2024-05-02 10:49:16.72953,
216,whole pumpkin,2024-05-02 10:49:16.72953,
217,nicotinic acid (source of vitamin b3),2024-05-02 10:49:16.72953,
218,blueberries,2024-05-02 10:49:16.72953,
219,fresh apples,2024-05-02 10:49:16.72953,
220,pectin,2024-05-02 10:49:16.72953,
221,silicon dioxide,2024-05-02 10:49:16.72953,
222,dried streptococcus thermophilus fermentation product,2024-05-02 10:49:16.72953,
223,menadione sodium disulfite complex,2024-05-02 10:49:16.72953,
224,carotene.,2024-05-02 10:49:16.72953,
225,alfalfa sprouts,2024-05-02 10:49:16.72953,
226,algae,2024-05-02 10:49:16.72953,
227,folic acid).,2024-05-02 10:49:16.72953,
228,dried lactobacillus casein fermentation product,2024-05-02 10:49:16.72953,
229,turkey neck,2024-05-02 10:49:16.72953,
230,ground whole barley,2024-05-02 10:49:16.72953,
231,organic guar gum,2024-05-02 10:49:16.72953,
232,thiamine mononitrate (source of vitamin b1),2024-05-02 10:49:16.72953,
233,potato fiber,2024-05-02 10:49:16.72953,
234,fava beans,2024-05-02 10:49:16.72953,
235,l-ascorbyl-2-polyphosphate (source of vitamin c).,2024-05-02 10:49:16.72953,
236,lamb bone,2024-05-02 10:49:16.72953,
237,l-ascorbyl-2- polyphosphate,2024-05-02 10:49:16.72953,
238,yellow iron oxide,2024-05-02 10:49:16.72953,
239,anchovies,2024-05-02 10:49:16.72953,
240,e426320,2024-05-02 10:49:16.72953,
488,trace minerals,2024-05-02 10:49:16.72953,
241,canolaoil (preserved with mixed tocopherols),2024-05-02 10:49:16.72953,
242,humanely raised lamb,2024-05-02 10:49:16.72953,
243,boar meal,2024-05-02 10:49:16.72953,
244,vinegar,2024-05-02 10:49:16.72953,
245,marine microalgae oil (preserved with mixed tocopherols),2024-05-02 10:49:16.72953,
246,guar gum,2024-05-02 10:49:16.72953,
247,dehydrated streptococcus faecium fermentation product,2024-05-02 10:49:16.72953,
248,natural tuna flavor,2024-05-02 10:49:16.72953,
249,yellowfin tuna,2024-05-02 10:49:16.72953,
250,organic broccoli,2024-05-02 10:49:16.72953,
251,vitamin b2 (riboflavin),2024-05-02 10:49:16.72953,
252,calcium carbonate.,2024-05-02 10:49:16.72953,
253,calcium phosphate,2024-05-02 10:49:16.72953,
254,anchovy & sardine meal,2024-05-02 10:49:16.72953,
255,skipjack,2024-05-02 10:49:16.72953,
256,skinless chicken necks,2024-05-02 10:49:16.72953,
257,oat groats,2024-05-02 10:49:16.72953,
258,choline bitartrate,2024-05-02 10:49:16.72953,
259,sodium selenite. b-2561.,2024-05-02 10:49:16.72953,
260,salmon),2024-05-02 10:49:16.72953,
261,sodium carbonate.,2024-05-02 10:49:16.72953,
262,sodium tripolyphosphate. *this product is made in a facility that handles grains.,2024-05-02 10:49:16.72953,
263,pumpkin powder,2024-05-02 10:49:16.72953,
264,whole egg tomato paste,2024-05-02 10:49:16.72953,
265,liquid eggs,2024-05-02 10:49:16.72953,
266,water sufficient for cooking,2024-05-02 10:49:16.72953,
267,deboned bison,2024-05-02 10:49:16.72953,
268,dehydrated eggs,2024-05-02 10:49:16.72953,
269,mixed tocopherols),2024-05-02 10:49:16.72953,
270,quail broth,2024-05-02 10:49:16.72953,
271,fructooligosaccharides (fos),2024-05-02 10:49:16.72953,
272,vitamin d3 supplement],2024-05-02 10:49:16.72953,
273,pork,2024-05-02 10:49:16.72953,
274,wild boar heart,2024-05-02 10:49:16.72953,
275,vitamin d-3 supplement]. b-4732,2024-05-02 10:49:16.72953,
276,dehydrated lamb,2024-05-02 10:49:16.72953,
277,calcium iodate and sodium selenite.,2024-05-02 10:49:16.72953,
278,bisulfite complex (source of vitamin k),2024-05-02 10:49:16.72953,
279,calamari,2024-05-02 10:49:16.72953,
280,grilled mackerel,2024-05-02 10:49:16.72953,
281,vitamin d-3 supplement]. b-4731,2024-05-02 10:49:16.72953,
282,cod,2024-05-02 10:49:16.72953,
283,fresh quail,2024-05-02 10:49:16.72953,
284,natural liver flavor,2024-05-02 10:49:16.72953,
285,vitamin a acetate,2024-05-02 10:49:16.72953,
286,dehydrated turkey bone broth,2024-05-02 10:49:16.72953,
287,citric acid for freshness,2024-05-02 10:49:16.72953,
288,vitamin premix (vitamin a supplement,2024-05-02 10:49:16.72953,
289,dried lactobacillus caseifermentation product.,2024-05-02 10:49:16.72953,
290,zinc oxide,2024-05-02 10:49:16.72953,
291,venison blood,2024-05-02 10:49:16.72953,
292,riboflavin supplement [vitamin b2],2024-05-02 10:49:16.72953,
293,potassium cholride,2024-05-02 10:49:16.72953,
294,minerals (magnesium sulfate,2024-05-02 10:49:16.72953,
295,beef and liver broth,2024-05-02 10:49:16.72953,
296,sodium selenite},2024-05-02 10:49:16.72953,
297,and folic acid),2024-05-02 10:49:16.72953,
298,dried egg shell,2024-05-02 10:49:16.72953,
299,dried bacillus subtilis fermentation extract.,2024-05-02 10:49:16.72953,
300,mango,2024-05-02 10:49:16.72953,
301,rolled oats,2024-05-02 10:49:16.72953,
302,sodium aluminosilicate,2024-05-02 10:49:16.72953,
303,ethylenediamine dihydroiodide (source of iodine),2024-05-02 10:49:16.72953,
304,starch.,2024-05-02 10:49:16.72953,
305,pea starch,2024-05-02 10:49:16.72953,
306,humanely raised chicken,2024-05-02 10:49:16.72953,
307,dried bifidobacterium longum fermentation product*,2024-05-02 10:49:16.72953,
308,minerals [zinc amino acid chelate,2024-05-02 10:49:16.72953,
309,waler sufficient for processing,2024-05-02 10:49:16.72953,
310,pork protein concentrate,2024-05-02 10:49:16.72953,
311,organic beef,2024-05-02 10:49:16.72953,
312,natural turkey flavor,2024-05-02 10:49:16.72953,
313,calcium d-pantothenate,2024-05-02 10:49:16.72953,
314,whole green lentils,2024-05-02 10:49:16.72953,
315,chicken byproduct meal,2024-05-02 10:49:16.72953,
316,chicken fat (mixed tocopherols preservative),2024-05-02 10:49:16.72953,
317,lamb hearts,2024-05-02 10:49:16.72953,
318,aloe verra,2024-05-02 10:49:16.72953,
319,folic acid],2024-05-02 10:49:16.72953,
320,ethylenediamine dihydroiodide),2024-05-02 10:49:16.72953,
321,fenugreeks seeds,2024-05-02 10:49:16.72953,
322,soy protein concentrate,2024-05-02 10:49:16.72953,
323,beef tripe,2024-05-02 10:49:16.72953,
324,dried eggs,2024-05-02 10:49:16.72953,
325,guargum,2024-05-02 10:49:16.72953,
326,sunï¬ower oil (preserved with mixed tocopherols),2024-05-02 10:49:16.72953,
327,fish oil (natural source of dha),2024-05-02 10:49:16.72953,
328,vegetable juice for color,2024-05-02 10:49:16.72953,
329,cobalt proteinate),2024-05-02 10:49:16.72953,
330,vegetable starch-modified,2024-05-02 10:49:16.72953,
331,vitamin d-3 supplement],2024-05-02 10:49:16.72953,
332,guinea fowl,2024-05-02 10:49:16.72953,
333,dipotassium phosphate,2024-05-02 10:49:16.72953,
334,spray dried pork liver,2024-05-02 10:49:16.72953,
335,mixed tocopherols (as preservative),2024-05-02 10:49:16.72953,
336,dry chicken broth,2024-05-02 10:49:16.72953,
337,ferric pyrophosphate,2024-05-02 10:49:16.72953,
338,vitamins (vitamin d3 supplement,2024-05-02 10:49:16.72953,
339,dried mis canthus grass,2024-05-02 10:49:16.72953,
340,fresh herring,2024-05-02 10:49:16.72953,
341,natural fis...h flavor,2024-05-02 10:49:16.72953,
342,grain distillers dried yeast,2024-05-02 10:49:16.72953,
343,whole grain corn,2024-05-02 10:49:16.72953,
344,turkey and duck,2024-05-02 10:49:16.72953,
345,carrageenan,2024-05-02 10:49:16.72953,
346,malted barley flour,2024-05-02 10:49:16.72953,
347,menadione sodium bisulfite compl,2024-05-02 10:49:16.72953,
348,sodium selenite. c253420,2024-05-02 10:49:16.72953,
349,tapioca starch calcium sulfate,2024-05-02 10:49:16.72953,
350,bha (used as a preservative),2024-05-02 10:49:16.72953,
351,organic beef kidney,2024-05-02 10:49:16.72953,
352,rabbit hearts,2024-05-02 10:49:16.72953,
353,dried apricot,2024-05-02 10:49:16.72953,
354,hydrolyzed pork plasma,2024-05-02 10:49:16.72953,
355,choline chloride parsley.,2024-05-02 10:49:16.72953,
356,lecithin,2024-05-02 10:49:16.72953,
357,dry pea flour,2024-05-02 10:49:16.72953,
358,menadione sodium bisulfite complex [source of vitamin k activity]),2024-05-02 10:49:16.72953,
359,venison bone,2024-05-02 10:49:16.72953,
360,rabbit lung,2024-05-02 10:49:16.72953,
361,cane molasses,2024-05-02 10:49:16.72953,
362,spinach powder,2024-05-02 10:49:16.72953,
363,cottage cheese,2024-05-02 10:49:16.72953,
364,fish oil (herring – natural source of dha and epa),2024-05-02 10:49:16.72953,
365,sarsaparilla root,2024-05-02 10:49:16.72953,
366,green lipped mussels,2024-05-02 10:49:16.72953,
367,hydrolyzed potato protein,2024-05-02 10:49:16.72953,
368,almond oil (preserved with mixed tocopherols),2024-05-02 10:49:16.72953,
369,sea bream,2024-05-02 10:49:16.72953,
370,vitamins ((vitamin e supplement,2024-05-02 10:49:16.72953,
371,organic dehydrated alfalfa meal,2024-05-02 10:49:16.72953,
372,e468220,2024-05-02 10:49:16.72953,
373,minerals [copper proteinate,2024-05-02 10:49:16.72953,
374,dried papaya,2024-05-02 10:49:16.72953,
375,sunflower oil,2024-05-02 10:49:16.72953,
376,ethylenediamine dihydriodide),2024-05-02 10:49:16.72953,
377,pea,2024-05-02 10:49:16.72953,
378,ground brown rice,2024-05-02 10:49:16.72953,
379,sunflower meal,2024-05-02 10:49:16.72953,
380,blue 2,2024-05-02 10:49:16.72953,
381,crab broth,2024-05-02 10:49:16.72953,
382,whole ground flaxseed,2024-05-02 10:49:16.72953,
383,menadione sodium bisulfite,2024-05-02 10:49:16.72953,
384,pollock,2024-05-02 10:49:16.72953,
385,betaine,2024-05-02 10:49:16.72953,
386,ground whole grain corn,2024-05-02 10:49:16.72953,
387,driedcranberries,2024-05-02 10:49:16.72953,
388,white rice,2024-05-02 10:49:16.72953,
389,organic tapioca,2024-05-02 10:49:16.72953,
390,animal fat preserved with bha,2024-05-02 10:49:16.72953,
391,d-6652,2024-05-02 10:49:16.72953,
392,sodium nitrite,2024-05-02 10:49:16.72953,
393,salmon meal,2024-05-02 10:49:16.72953,
394,licorice root,2024-05-02 10:49:16.72953,
395,chicken cartilage (source of glucosamine and chondroitin sulfate),2024-05-02 10:49:16.72953,
396,beef fat (preserved with mixed tocopherols),2024-05-02 10:49:16.72953,
397,dl- methionine,2024-05-02 10:49:16.72953,
398,lamb meal,2024-05-02 10:49:16.72953,
399,mixed tocopherols (to preserve freshness),2024-05-02 10:49:16.72953,
400,iron proteinate),2024-05-02 10:49:16.72953,
401,blueberry powder,2024-05-02 10:49:16.72953,
402,deboned trout (bone removed,2024-05-02 10:49:16.72953,
403,sage,2024-05-02 10:49:16.72953,
404,sardines),2024-05-02 10:49:16.72953,
405,coconut flour,2024-05-02 10:49:16.72953,
406,poatssium chloride,2024-05-02 10:49:16.72953,
407,pyridoxine hydrochloride (vitamin b6),2024-05-02 10:49:16.72953,
408,ethylenediamine dihydroiodide,2024-05-02 10:49:16.72953,
409,vitamin d-3 supplement. c253619.,2024-05-02 10:49:16.72953,
410,gelling agent(sr carrageenan(e407),2024-05-02 10:49:16.72953,
411,chicken (source of glucosamine and chondroitin sulfate),2024-05-02 10:49:16.72953,
412,whole hake,2024-05-02 10:49:16.72953,
413,sodium ascorbate (to promote color retention),2024-05-02 10:49:16.72953,
414,dried cheese powder,2024-05-02 10:49:16.72953,
415,l-cysteine,2024-05-02 10:49:16.72953,
416,buffalo meal,2024-05-02 10:49:16.72953,
417,broccoli sprouts,2024-05-02 10:49:16.72953,
418,chicory root (source of inulin),2024-05-02 10:49:16.72953,
419,whole oat,2024-05-02 10:49:16.72953,
420,spray dried porcine plasma,2024-05-02 10:49:16.72953,
421,blue #2),2024-05-02 10:49:16.72953,
422,duck with ground bone,2024-05-02 10:49:16.72953,
423,fresh fish,2024-05-02 10:49:16.72953,
424,giblets,2024-05-02 10:49:16.72953,
425,dried beet pulp,2024-05-02 10:49:16.72953,
426,ground whole flaxseed,2024-05-02 10:49:16.72953,
427,vitamin,2024-05-02 10:49:16.72953,
428,asparagus,2024-05-02 10:49:16.72953,
429,natural vitamin e,2024-05-02 10:49:16.72953,
430,cobalt,2024-05-02 10:49:16.72953,
431,chicken by-product,2024-05-02 10:49:16.72953,
432,pot...assium chloride,2024-05-02 10:49:16.72953,
433,organic quinoa,2024-05-02 10:49:16.72953,
434,seabass,2024-05-02 10:49:16.72953,
435,dried brewer’s yeast,2024-05-02 10:49:16.72953,
436,fennel seeds,2024-05-02 10:49:16.72953,
437,dl-methionine,2024-05-02 10:49:16.72953,
438,organic oatmeal,2024-05-02 10:49:16.72953,
439,magnesium sulfate,2024-05-02 10:49:16.72953,
440,chia seed oi,2024-05-02 10:49:16.72953,
441,reduced iron,2024-05-02 10:49:16.72953,
442,vitamin k3 supplement),2024-05-02 10:49:16.72953,
443,vegetable oil (preserved with mixed tocopherols and citric acid),2024-05-02 10:49:16.72953,
444,whole oats,2024-05-02 10:49:16.72953,
445,dried peas,2024-05-02 10:49:16.72953,
446,manganese amino acid chelate,2024-05-02 10:49:16.72953,
447,bitter orange peel,2024-05-02 10:49:16.72953,
448,menhaden fish meal,2024-05-02 10:49:16.72953,
449,pacific ocean fish meal,2024-05-02 10:49:16.72953,
450,ironproteinate,2024-05-02 10:49:16.72953,
451,turkey meal (source of glucosamine and chondroitin),2024-05-02 10:49:16.72953,
452,f467820,2024-05-02 10:49:16.72953,
453,iron oxide,2024-05-02 10:49:16.72953,
454,hydrolyzed yeast (source of betaglucans),2024-05-02 10:49:16.72953,
455,organic dried seaweed meal,2024-05-02 10:49:16.72953,
456,turmerichumanely raised chicken,2024-05-02 10:49:16.72953,
457,freeze-dried cod liver,2024-05-02 10:49:16.72953,
458,potassium iodide. a-4734,2024-05-02 10:49:16.72953,
459,thiamine mononitrite,2024-05-02 10:49:16.72953,
460,tetrasodium pyrophosphate,2024-05-02 10:49:16.72953,
461,dried bifidobacterium animalisfermentation product,2024-05-02 10:49:16.72953,
462,manganes proteinate,2024-05-02 10:49:16.72953,
463,natural buffered vinegar,2024-05-02 10:49:16.72953,
464,lamb kidney,2024-05-02 10:49:16.72953,
465,menadione sodium bisulfite complex (source of vitamin k activity),2024-05-02 10:49:16.72953,
466,marigold,2024-05-02 10:49:16.72953,
467,menadione sodium bisulfite complex (vitamin k),2024-05-02 10:49:16.72953,
468,whole egg powder,2024-05-02 10:49:16.72953,
469,mustard greens,2024-05-02 10:49:16.72953,
470,dried rosemary,2024-05-02 10:49:16.72953,
471,d- calcium pantothenate,2024-05-02 10:49:16.72953,
472,*turmeric (source of natural curcumin),2024-05-02 10:49:16.72953,
473,fish oil (preserved with mixed tocopherols) (source of dha),2024-05-02 10:49:16.72953,
474,turmeric powder,2024-05-02 10:49:16.72953,
475,barley grass,2024-05-02 10:49:16.72953,
476,albacore tuna,2024-05-02 10:49:16.72953,
477,navy beans,2024-05-02 10:49:16.72953,
478,dl-methionine.,2024-05-02 10:49:16.72953,
479,c474120,2024-05-02 10:49:16.72953,
